## ================================================================================================================
## Date de Création du fichier     : 2022-05-04
## Auteur                          : Division Hydrographique du Service d'Irrigation - DHSI - (1918 - 1940)
##                                   Direction générale des travaux publics
## Créateur du fichier	           : Ralph Bathelemy (bathelemy@geoazur.unice.fr)
## Entité                          : URGEO - GEOAZUR - INRAE
## ================================================================================================================
## Code station                    : 40501
## Nom station                     : AMONT DU BASSIN - RIVIERE GRISE
## ----------------------------------------------------------------------------------------------------------------
## Superficie bassin               : 276           ; (DHSI [km²])
## Altitude station                : 220           ; (DHSI [m])
## Longitude                       : 72.11         ; (DHSI [degré.minute W])
## Latitude                        : 18.3          ; (DHSI [degré.minute N])
## Données manquantes              : 15             ; [%]
## Débits disponibles              : 1919-01-01    ; 1940-12-31
## ================================================================================================================
## Champs----------------------------------------------------------------------------------------------------------
## Date                            : date [AAAAMMJJ]
## Q                               : débits [m3/s]
## ================================================================================================================

Date;	Q
19190918;	NA
19190919;	NA
19190920;	NA
19190921;	NA
19190922;	NA
19190923;	NA
19190924;	NA
19190925;	NA
19190926;	NA
19190927;	NA
19190928;	NA
19190929;	NA
19190930;	NA
19191001;	4.73
19191002;	4.73
19191003;	4.86
19191004;	4.99
19191005;	5.12
19191006;	5.25
19191007;	5.38
19191008;	5.51
19191009;	5.64
19191010;	5.77
19191011;	5.9
19191012;	6.02
19191013;	6.14
19191014;	5.95
19191015;	5.77
19191016;	5.59
19191017;	5.41
19191018;	5.23
19191019;	5.05
19191020;	4.87
19191021;	4.75
19191022;	4.63
19191023;	4.52
19191024;	4.41
19191025;	4.3
19191026;	4.19
19191027;	4.08
19191028;	4.1
19191029;	4.12
19191030;	4.14
19191031;	4.16
19191101;	4.18
19191102;	4.21
19191103;	4.24
19191104;	4.24
19191105;	4.24
19191106;	4.24
19191107;	4.24
19191108;	4.24
19191109;	4.24
19191110;	4.24
19191111;	4.23
19191112;	4.23
19191113;	4.23
19191114;	4.23
19191115;	4.23
19191116;	4.22
19191117;	4.22
19191118;	4.22
19191119;	4.22
19191120;	4.22
19191121;	4.22
19191122;	4.22
19191123;	4.22
19191124;	4.21
19191125;	4.21
19191126;	4.21
19191127;	4.21
19191128;	4.21
19191129;	3.95
19191130;	3.7
19191201;	3.45
19191202;	3.2
19191203;	2.94
19191204;	2.78
19191205;	2.62
19191206;	2.47
19191207;	2.31
19191208;	2.16
19191209;	2
19191210;	2.55
19191211;	3.1
19191212;	3.65
19191213;	3.28
19191214;	2.9
19191215;	2.53
19191216;	2.15
19191217;	2.14
19191218;	2.13
19191219;	2.12
19191220;	2.1
19191221;	2.08
19191222;	2.06
19191223;	2.04
19191224;	2.02
19191225;	2
19191226;	2.01
19191227;	2.01
19191228;	2.02
19191229;	2.02
19191230;	2.03
19191231;	2
19200101;	1.97
19200102;	1.94
19200103;	1.91
19200104;	1.88
19200105;	1.85
19200106;	1.82
19200107;	1.8
19200108;	1.78
19200109;	1.76
19200110;	1.74
19200111;	1.72
19200112;	1.7
19200113;	1.67
19200114;	1.64
19200115;	1.62
19200116;	1.6
19200117;	1.58
19200118;	1.56
19200119;	1.55
19200120;	1.54
19200121;	1.53
19200122;	1.53
19200123;	1.52
19200124;	1.52
19200125;	1.51
19200126;	1.51
19200127;	1.5
19200128;	1.53
19200129;	1.55
19200130;	1.58
19200131;	1.6
19200201;	1.63
19200202;	1.65
19200203;	1.67
19200204;	1.78
19200205;	1.88
19200206;	1.84
19200207;	1.79
19200208;	1.75
19200209;	1.7
19200210;	1.66
19200211;	1.61
19200212;	1.7
19200213;	1.6
19200214;	1.59
19200215;	1.59
19200216;	1.58
19200217;	1.58
19200218;	1.57
19200219;	1.57
19200220;	1.56
19200221;	1.56
19200222;	1.57
19200223;	1.57
19200224;	1.57
19200225;	1.57
19200226;	1.58
19200227;	1.81
19200228;	2.04
19200229;	2.27
19200301;	2.51
19200302;	2.41
19200303;	2.32
19200304;	2.23
19200305;	2.14
19200306;	2.05
19200307;	1.96
19200308;	1.87
19200309;	1.78
19200310;	1.69
19200311;	1.6
19200312;	1.51
19200313;	1.5
19200314;	1.48
19200315;	1.47
19200316;	1.45
19200317;	1.44
19200318;	1.44
19200319;	1.43
19200320;	1.43
19200321;	1.43
19200322;	1.42
19200323;	1.42
19200324;	1.42
19200325;	3.3
19200326;	2.98
19200327;	2.67
19200328;	2.36
19200329;	2.05
19200330;	1.74
19200331;	1.59
19200401;	1.44
19200402;	1.44
19200403;	1.45
19200404;	1.46
19200405;	1.46
19200406;	1.46
19200407;	1.46
19200408;	1.47
19200409;	1.47
19200410;	1.48
19200411;	1.48
19200412;	1.48
19200413;	1.49
19200414;	1.45
19200415;	1.4
19200416;	1.36
19200417;	1.31
19200418;	1.27
19200419;	1.23
19200420;	1.18
19200421;	1.14
19200422;	1.09
19200423;	1.09
19200424;	1.09
19200425;	1.09
19200426;	1.08
19200427;	1.08
19200428;	1.08
19200429;	1.08
19200430;	1.08
19200501;	1.08
19200502;	1.08
19200503;	1.08
19200504;	1.09
19200505;	1.09
19200506;	1.09
19200507;	1.1
19200508;	1.11
19200509;	1.12
19200510;	1.13
19200511;	1.14
19200512;	1.16
19200513;	1.34
19200514;	1.51
19200515;	1.68
19200516;	1.86
19200517;	2.04
19200518;	2.21
19200519;	2.3
19200520;	2.39
19200521;	2.48
19200522;	2.57
19200523;	2.66
19200524;	2.75
19200525;	2.84
19200526;	2.94
19200527;	2.97
19200528;	3
19200529;	3.03
19200530;	3.06
19200531;	3.09
19200601;	3.13
19200602;	3.08
19200603;	3.04
19200604;	3
19200605;	2.96
19200606;	2.92
19200607;	2.88
19200608;	2.84
19200609;	2.8
19200610;	2.75
19200611;	2.7
19200612;	2.65
19200613;	2.6
19200614;	2.55
19200615;	2.5
19200616;	2.45
19200617;	2.4
19200618;	2.42
19200619;	2.44
19200620;	2.46
19200621;	2.48
19200622;	2.5
19200623;	2.52
19200624;	2.54
19200625;	2.55
19200626;	2.61
19200627;	2.67
19200628;	2.73
19200629;	2.79
19200630;	2.85
19200701;	2.91
19200702;	2.96
19200703;	2.81
19200704;	2.66
19200705;	2.51
19200706;	2.36
19200707;	2.21
19200708;	2.06
19200709;	1.91
19200710;	1.97
19200711;	2.03
19200712;	2.09
19200713;	2.15
19200714;	2.21
19200715;	2.27
19200716;	2.34
19200717;	2.27
19200718;	2.2
19200719;	2.13
19200720;	2.06
19200721;	2
19200722;	1.92
19200723;	1.84
19200724;	1.87
19200725;	1.9
19200726;	1.93
19200727;	1.96
19200728;	2
19200729;	2.04
19200730;	2.08
19200731;	2.12
19200801;	2.2
19200802;	2.2
19200803;	2.2
19200804;	2.2
19200805;	2.2
19200806;	2.2
19200807;	2.2
19200808;	2.2
19200809;	2.2
19200810;	2.2
19200811;	2.2
19200812;	2.2
19200813;	2.2
19200814;	2.2
19200815;	2.2
19200816;	2.2
19200817;	2.2
19200818;	2.2
19200819;	2.2
19200820;	2.2
19200821;	2.2
19200822;	2.2
19200823;	2.2
19200824;	2.2
19200825;	2.2
19200826;	2.2
19200827;	2.2
19200828;	2.2
19200829;	2.2
19200830;	2.2
19200831;	2.2
19200901;	2.3
19200902;	2.3
19200903;	2.3
19200904;	2.29
19200905;	2.33
19200906;	2.37
19200907;	2.41
19200908;	2.45
19200909;	2.49
19200910;	2.53
19200911;	2.56
19200912;	2.47
19200913;	2.38
19200914;	2.29
19200915;	2.2
19200916;	2.1
19200917;	1.99
19200918;	2.54
19200919;	3.09
19200920;	3.64
19200921;	4.2
19200922;	4.75
19200923;	5.64
19200924;	4.95
19200925;	4.68
19200926;	4.6
19200927;	4.53
19200928;	4.46
19200929;	4.07
19200930;	4.03
19201001;	5.4
19201002;	6.76
19201003;	5.55
19201004;	4.35
19201005;	4.08
19201006;	3.82
19201007;	4.08
19201008;	7.02
19201009;	6.14
19201010;	5.26
19201011;	4.38
19201012;	4.23
19201013;	4.08
19201014;	6.76
19201015;	9.45
19201016;	8.77
19201017;	8.1
19201018;	7.43
19201019;	6.76
19201020;	6.09
19201021;	5.42
19201022;	4.75
19201023;	4.08
19201024;	3.97
19201025;	3.87
19201026;	3.76
19201027;	3.66
19201028;	3.55
19201029;	3.44
19201030;	3.34
19201031;	3.34
19201101;	3.34
19201102;	3.34
19201103;	3.34
19201104;	3.34
19201105;	3.34
19201106;	3.35
19201107;	3.36
19201108;	3.36
19201109;	3.37
19201110;	3.38
19201111;	3.39
19201112;	3.4
19201113;	3.44
19201114;	3.47
19201115;	3.5
19201116;	3.54
19201117;	3.58
19201118;	3.61
19201119;	3.65
19201120;	3.55
19201121;	3.46
19201122;	3.36
19201123;	3.27
19201124;	3.18
19201125;	3.08
19201126;	2.99
19201127;	2.89
19201128;	2.79
19201129;	2.69
19201130;	2.59
19201201;	2.49
19201202;	2.39
19201203;	2.33
19201204;	2.28
19201205;	2.23
19201206;	2.18
19201207;	2.13
19201208;	2.08
19201209;	2.03
19201210;	1.98
19201211;	1.96
19201212;	1.95
19201213;	1.93
19201214;	1.92
19201215;	1.9
19201216;	1.88
19201217;	1.87
19201218;	1.84
19201219;	1.81
19201220;	1.78
19201221;	1.75
19201222;	1.72
19201223;	1.69
19201224;	1.66
19201225;	1.63
19201226;	1.6
19201227;	1.57
19201228;	1.54
19201229;	1.51
19201230;	1.48
19201231;	1.51
19210101;	1.54
19210102;	1.57
19210103;	1.6
19210104;	1.63
19210105;	1.66
19210106;	1.69
19210107;	1.72
19210108;	1.72
19210109;	1.72
19210110;	1.72
19210111;	1.73
19210112;	1.73
19210113;	1.73
19210114;	1.73
19210115;	1.73
19210116;	1.73
19210117;	1.73
19210118;	1.73
19210119;	1.73
19210120;	1.73
19210121;	1.73
19210122;	1.68
19210123;	1.62
19210124;	1.57
19210125;	1.52
19210126;	1.46
19210127;	1.41
19210128;	1.36
19210129;	1.38
19210130;	1.4
19210131;	1.42
19210201;	1.46
19210202;	1.48
19210203;	1.51
19210204;	1.54
19210205;	1.56
19210206;	1.55
19210207;	1.54
19210208;	1.52
19210209;	1.51
19210210;	1.5
19210211;	1.49
19210212;	1.47
19210213;	1.44
19210214;	1.42
19210215;	1.4
19210216;	1.38
19210217;	1.36
19210218;	1.33
19210219;	1.31
19210220;	1.29
19210221;	1.27
19210222;	1.26
19210223;	1.24
19210224;	1.23
19210225;	1.21
19210226;	1.26
19210227;	1.31
19210228;	1.37
19210301;	1.42
19210302;	1.47
19210303;	1.49
19210304;	1.5
19210305;	1.52
19210306;	1.53
19210307;	1.55
19210308;	1.57
19210309;	1.58
19210310;	1.6
19210311;	1.61
19210312;	1.63
19210313;	1.93
19210314;	2.24
19210315;	2.54
19210316;	2.84
19210317;	3.14
19210318;	3.45
19210319;	3.19
19210320;	2.93
19210321;	2.67
19210322;	2.42
19210323;	2.16
19210324;	1.9
19210325;	1.98
19210326;	2.05
19210327;	2.13
19210328;	2.21
19210329;	2.28
19210330;	2.36
19210331;	2.44
19210401;	2.51
19210402;	2.59
19210403;	2.51
19210404;	2.44
19210405;	2.36
19210406;	2.29
19210407;	2.21
19210408;	2.14
19210409;	2.06
19210410;	2.49
19210411;	2.92
19210412;	3.34
19210413;	3.77
19210414;	4.2
19210415;	4.63
19210416;	4.14
19210417;	3.65
19210418;	3.15
19210419;	2.66
19210420;	2.17
19210421;	2.1
19210422;	2.03
19210423;	1.96
19210424;	1.89
19210425;	1.82
19210426;	1.75
19210427;	1.68
19210428;	1.61
19210429;	1.54
19210430;	1.5
19210501;	1.46
19210502;	1.43
19210503;	1.45
19210504;	1.42
19210505;	1.48
19210506;	2.88
19210507;	2.75
19210508;	2.61
19210509;	2.48
19210510;	3.54
19210511;	3.19
19210512;	6.49
19210513;	5.87
19210514;	4.63
19210515;	3.38
19210516;	2.14
19210517;	3.73
19210518;	4
19210519;	3.59
19210520;	5.6
19210521;	6.47
19210522;	7.33
19210523;	8.2
19210524;	8.09
19210525;	7.11
19210526;	7
19210527;	6.95
19210528;	10.6
19210529;	14.2
19210530;	17.9
19210531;	10.1
19210601;	10.6
19210602;	2.3
19210603;	4.42
19210604;	6.55
19210605;	8.68
19210606;	10.8
19210607;	14.5
19210608;	16
19210609;	15
19210610;	14
19210611;	13.8
19210612;	13.5
19210613;	13.3
19210614;	11.4
19210615;	8.78
19210616;	13.2
19210617;	14.8
19210618;	13.4
19210619;	12
19210620;	10.6
19210621;	7.5
19210622;	7.21
19210623;	6.92
19210624;	6.9
19210625;	6.32
19210626;	5.73
19210627;	5.15
19210628;	4.38
19210629;	5.26
19210630;	4.56
19210701;	4.56
19210702;	4.44
19210703;	4.33
19210704;	4.21
19210705;	5.01
19210706;	4.03
19210707;	4.03
19210708;	4
19210709;	4.09
19210710;	4.19
19210711;	4.28
19210712;	5.43
19210713;	4.28
19210714;	5.03
19210715;	5.73
19210716;	5.09
19210717;	4.46
19210718;	3.82
19210719;	4.54
19210720;	3.8
19210721;	3.09
19210722;	3.9
19210723;	3.73
19210724;	3.56
19210725;	3.39
19210726;	3.59
19210727;	3.31
19210728;	3.67
19210729;	3.67
19210730;	3.6
19210731;	3.54
19210801;	3.47
19210802;	3.4
19210803;	3.34
19210804;	3.27
19210805;	3.2
19210806;	3.13
19210807;	3.07
19210808;	3
19210809;	2.8
19210810;	3.94
19210811;	3.45
19210812;	2.9
19210813;	2.8
19210814;	2.69
19210815;	2.59
19210816;	2.72
19210817;	2.7
19210818;	3.06
19210819;	3.11
19210820;	3
19210821;	2.89
19210822;	2.78
19210823;	4.29
19210824;	5.8
19210825;	6.39
19210826;	4.96
19210827;	4.79
19210828;	4.62
19210829;	4.44
19210830;	5.36
19210831;	7.14
19210901;	5.79
19210902;	6.25
19210903;	5.82
19210904;	5.38
19210905;	4.95
19210906;	4.51
19210907;	4.08
19210908;	4.07
19210909;	4.06
19210910;	4.05
19210911;	4.05
19210912;	4.04
19210913;	4.03
19210914;	4.02
19210915;	4.01
19210916;	4.3
19210917;	4.58
19210918;	4.86
19210919;	5.15
19210920;	5.44
19210921;	5.72
19210922;	6
19210923;	6.29
19210924;	6.58
19210925;	6.86
19210926;	7.14
19210927;	7.43
19210928;	7.72
19210929;	8
19210930;	7.9
19211001;	7.8
19211002;	7.7
19211003;	7.6
19211004;	7.5
19211005;	7.59
19211006;	7.69
19211007;	7.78
19211008;	7.86
19211009;	7.95
19211010;	8.04
19211011;	8.13
19211012;	8.3
19211013;	8.47
19211014;	8.64
19211015;	8.82
19211016;	8.98
19211017;	9.16
19211018;	9.33
19211019;	9.51
19211020;	9.68
19211021;	9.24
19211022;	8.81
19211023;	8.37
19211024;	7.94
19211025;	7.5
19211026;	7.06
19211027;	6.63
19211028;	6.19
19211029;	5.93
19211030;	5.69
19211031;	5.43
19211101;	5.18
19211102;	4.92
19211103;	4.68
19211104;	4.42
19211105;	4.24
19211106;	4.05
19211107;	3.87
19211108;	3.69
19211109;	3.5
19211110;	3.32
19211111;	3.14
19211112;	2.95
19211113;	2.77
19211114;	2.59
19211115;	2.41
19211116;	2.23
19211117;	2.04
19211118;	1.86
19211119;	1.86
19211120;	1.87
19211121;	1.87
19211122;	1.88
19211123;	1.88
19211124;	1.88
19211125;	1.89
19211126;	1.89
19211127;	1.9
19211128;	1.9
19211129;	1.98
19211130;	2.07
19211201;	2.15
19211202;	2.24
19211203;	2.33
19211204;	2.42
19211205;	2.5
19211206;	2.59
19211207;	2.68
19211208;	2.77
19211209;	2.85
19211210;	2.94
19211211;	2.94
19211212;	2.95
19211213;	2.94
19211214;	2.95
19211215;	2.95
19211216;	2.95
19211217;	2.95
19211218;	2.95
19211219;	2.96
19211220;	2.96
19211221;	2.91
19211222;	2.87
19211223;	2.82
19211224;	2.78
19211225;	2.73
19211226;	2.69
19211227;	2.64
19211228;	2.6
19211229;	2.55
19211230;	2.5
19211231;	2.45
19220101;	2.41
19220102;	2.37
19220103;	2.32
19220104;	2.28
19220105;	2.23
19220106;	2.19
19220107;	2.14
19220108;	2.1
19220109;	2.06
19220110;	2.02
19220111;	1.98
19220112;	1.94
19220113;	1.9
19220114;	1.86
19220115;	1.87
19220116;	1.88
19220117;	1.9
19220118;	1.91
19220119;	1.92
19220120;	1.93
19220121;	1.93
19220122;	1.93
19220123;	1.93
19220124;	1.94
19220125;	1.94
19220126;	1.94
19220127;	1.94
19220128;	1.94
19220129;	1.92
19220130;	1.9
19220131;	1.88
19220201;	1.87
19220202;	1.85
19220203;	1.83
19220204;	1.83
19220205;	1.83
19220206;	1.81
19220207;	1.84
19220208;	1.84
19220209;	1.85
19220210;	1.85
19220211;	1.85
19220212;	1.81
19220213;	1.76
19220214;	1.72
19220215;	1.68
19220216;	1.63
19220217;	1.59
19220218;	1.57
19220219;	1.55
19220220;	1.53
19220221;	1.5
19220222;	1.48
19220223;	1.46
19220224;	1.44
19220225;	1.42
19220226;	1.41
19220227;	1.4
19220228;	1.39
19220301;	1.38
19220302;	1.37
19220303;	1.36
19220304;	1.36
19220305;	1.36
19220306;	1.36
19220307;	1.36
19220308;	1.35
19220309;	1.35
19220310;	1.35
19220311;	1.35
19220312;	1.35
19220313;	1.35
19220314;	1.35
19220315;	1.35
19220316;	1.35
19220317;	1.35
19220318;	1.35
19220319;	1.32
19220320;	1.28
19220321;	1.25
19220322;	1.21
19220323;	1.18
19220324;	1.14
19220325;	1.11
19220326;	1.12
19220327;	1.14
19220328;	1.15
19220329;	1.16
19220330;	1.17
19220331;	1.18
19220401;	1.19
19220402;	1.19
19220403;	1.19
19220404;	1.19
19220405;	1.18
19220406;	1.18
19220407;	1.18
19220408;	1.18
19220409;	1.14
19220410;	1.09
19220411;	1.04
19220412;	1
19220413;	1
19220414;	1.01
19220415;	1.02
19220416;	1.03
19220417;	1.04
19220418;	1.05
19220419;	1.06
19220420;	1.07
19220421;	1.08
19220422;	1.08
19220423;	1.08
19220424;	1.07
19220425;	1.06
19220426;	1.06
19220427;	1.06
19220428;	1.05
19220429;	1.04
19220430;	1.04
19220501;	1.06
19220502;	1.08
19220503;	1.1
19220504;	1.12
19220505;	1.14
19220506;	1.14
19220507;	1.14
19220508;	1.14
19220509;	1.46
19220510;	1.78
19220511;	2.09
19220512;	2.41
19220513;	2.73
19220514;	2.86
19220515;	2.98
19220516;	3.1
19220517;	3.22
19220518;	4.34
19220519;	3.34
19220520;	2.24
19220521;	2.16
19220522;	2.06
19220523;	1.96
19220524;	1.86
19220525;	1.76
19220526;	1.67
19220527;	1.57
19220528;	1.5
19220529;	1.44
19220530;	1.37
19220531;	1.3
19220601;	1.25
19220602;	1.19
19220603;	1.93
19220604;	2.66
19220605;	3.4
19220606;	4.13
19220607;	4.86
19220608;	5.6
19220609;	6.33
19220610;	7.07
19220611;	9.58
19220612;	12.1
19220613;	11.5
19220614;	10.9
19220615;	10.4
19220616;	9.77
19220617;	9.16
19220618;	8.58
19220619;	7.94
19220620;	7.32
19220621;	6.72
19220622;	6.11
19220623;	5.5
19220624;	4.89
19220625;	4.63
19220626;	4.37
19220627;	4.11
19220628;	3.84
19220629;	3.57
19220630;	3.31
19220701;	3.05
19220702;	2.91
19220703;	2.77
19220704;	2.63
19220705;	2.48
19220706;	2.34
19220707;	2.2
19220708;	2.06
19220709;	2.03
19220710;	2.01
19220711;	1.98
19220712;	1.95
19220713;	1.93
19220714;	1.9
19220715;	1.87
19220716;	1.85
19220717;	1.82
19220718;	1.8
19220719;	1.79
19220720;	1.77
19220721;	1.76
19220722;	1.74
19220723;	1.74
19220724;	1.75
19220725;	1.76
19220726;	1.77
19220727;	1.78
19220728;	1.78
19220729;	1.73
19220730;	1.67
19220731;	1.62
19220801;	1.56
19220802;	1.51
19220803;	1.46
19220804;	1.4
19220805;	1.35
19220806;	1.34
19220807;	1.32
19220808;	1.31
19220809;	1.3
19220810;	1.28
19220811;	1.27
19220812;	1.35
19220813;	1.43
19220814;	1.43
19220815;	2.07
19220816;	2.49
19220817;	1.79
19220818;	2.07
19220819;	1.43
19220820;	1.43
19220821;	2.07
19220822;	1.79
19220823;	1.49
19220824;	1.43
19220825;	1.43
19220826;	1.49
19220827;	1.6
19220828;	1.7
19220829;	1.81
19220830;	1.92
19220831;	2.03
19220901;	2.14
19220902;	2.28
19220903;	2.42
19220904;	3.3
19220905;	2.63
19220906;	2.63
19220907;	2
19220908;	1.93
19220909;	7.72
19220910;	6.32
19220911;	12.9
19220912;	4.7
19220913;	5.9
19220914;	9.02
19220915;	7.72
19220916;	4.94
19220917;	3.82
19220918;	5.62
19220919;	5.02
19220920;	4.22
19220921;	4.82
19220922;	5.52
19220923;	4.42
19220924;	3.64
19220925;	3.64
19220926;	4.22
19220927;	5.82
19220928;	5.62
19220929;	8.92
19220930;	5.42
19221001;	6.28
19221002;	7.15
19221003;	8.01
19221004;	8.88
19221005;	9.74
19221006;	10.6
19221007;	10.3
19221008;	10
19221009;	9.74
19221010;	9.46
19221011;	9.17
19221012;	8.89
19221013;	8.6
19221014;	8.59
19221015;	8.57
19221016;	8.56
19221017;	8.54
19221018;	8.53
19221019;	8.52
19221020;	8.5
19221021;	8.49
19221022;	8.47
19221023;	8.46
19221024;	7.64
19221025;	6.82
19221026;	6
19221027;	5
19221028;	5.02
19221029;	4.85
19221030;	4.69
19221031;	4.52
19221101;	4.36
19221102;	4.19
19221103;	4.03
19221104;	4.03
19221105;	4.02
19221106;	4.02
19221107;	4.02
19221108;	4.01
19221109;	4.01
19221110;	4
19221111;	4
19221112;	4
19221113;	8
19221114;	6
19221115;	4
19221116;	3
19221117;	3.09
19221118;	3.06
19221119;	3.04
19221120;	3.01
19221121;	2.98
19221122;	2.95
19221123;	2.92
19221124;	2.9
19221125;	2.87
19221126;	2.88
19221127;	2.88
19221128;	2.89
19221129;	2.9
19221130;	2.9
19221201;	2.91
19221202;	2.92
19221203;	2.85
19221204;	2.78
19221205;	2.71
19221206;	2.64
19221207;	2.57
19221208;	2.36
19221209;	2.14
19221210;	2.07
19221211;	2.21
19221212;	2.07
19221213;	2.14
19221214;	2.14
19221215;	2.14
19221216;	2.07
19221217;	1.94
19221218;	1.81
19221219;	1.68
19221220;	1.56
19221221;	1.44
19221222;	1.32
19221223;	1.35
19221224;	1.38
19221225;	1.38
19221226;	1.38
19221227;	1.44
19221228;	1.44
19221229;	1.38
19221230;	1.65
19221231;	1.76
19250101;	2.8
19250102;	2.8
19250103;	2.8
19250104;	2.68
19250105;	2.68
19250106;	2.55
19250107;	2.55
19250108;	2.55
19250109;	2.55
19250110;	2.42
19250111;	2.42
19250112;	2.3
19250113;	2.3
19250114;	2.3
19250115;	2.3
19250116;	2.3
19250117;	2.18
19250118;	2.18
19250119;	2.18
19250120;	2.05
19250121;	2.05
19250122;	2.05
19250123;	2.05
19250124;	2.05
19250125;	2.05
19250126;	2.05
19250127;	1.92
19250128;	1.92
