,Date,	P
1206,1923-04-21,4.2
1207,1923-04-22,4.3
1208,1923-04-23,0.0
1209,1923-04-24,0.0
1210,1923-04-25,0.0
1211,1923-04-26,0.0
1212,1923-04-27,3.2
1213,1923-04-28,4.2
1214,1923-04-29,2.1
1215,1923-04-30,5.2
1216,1923-05-01,4.2
1217,1923-05-02,4.1
1218,1923-05-03,1.1
1219,1923-05-04,3.2
1220,1923-05-05,0.0
1221,1923-05-06,0.0
1222,1923-05-07,6.2
1223,1923-05-08,5.4
1224,1923-05-09,5.2
1225,1923-05-10,4.3
1226,1923-05-11,3.3
1227,1923-05-12,2.3
1228,1923-05-13,2.0
1229,1923-05-14,0.0
1230,1923-05-15,3.2
1231,1923-05-16,0.0
1232,1923-05-17,2.2
1233,1923-05-18,0.0
1234,1923-05-19,0.0
1235,1923-05-20,6.2
1236,1923-05-21,0.0
1237,1923-05-22,8.3
1238,1923-05-23,0.0
1239,1923-05-24,0.0
1240,1923-05-25,0.0
1241,1923-05-26,0.0
1242,1923-05-27,0.0
1243,1923-05-28,0.0
1244,1923-05-29,0.0
1245,1923-05-30,0.0
1246,1923-05-31,0.0
1247,1923-06-01,0.0
1248,1923-06-02,0.0
1249,1923-06-03,0.0
1250,1923-06-04,0.0
1251,1923-06-05,0.0
1252,1923-06-06,0.0
1253,1923-06-07,5.0
1254,1923-06-08,3.0
1255,1923-06-09,0.0
1256,1923-06-10,0.0
1257,1923-06-11,0.0
1258,1923-06-12,0.0
1259,1923-06-13,0.0
1260,1923-06-14,0.0
1261,1923-06-15,0.0
1262,1923-06-16,0.0
1263,1923-06-17,0.0
1264,1923-06-18,0.0
1265,1923-06-19,2.0
1266,1923-06-20,2.4
1267,1923-06-21,2.5
1268,1923-06-22,0.0
1269,1923-06-23,0.0
1270,1923-06-24,0.0
1271,1923-06-25,0.0
1272,1923-06-26,0.0
1273,1923-06-27,0.0
1274,1923-06-28,0.0
1275,1923-06-29,0.0
1276,1923-06-30,2.2
1277,1923-07-01,4.3
1278,1923-07-02,5.2
1279,1923-07-03,5.3
1280,1923-07-04,5.5
1281,1923-07-05,4.2
1282,1923-07-06,0.0
1283,1923-07-07,4.3
1284,1923-07-08,2.4
1285,1923-07-09,0.0
1286,1923-07-10,0.0
1287,1923-07-11,0.0
1288,1923-07-12,0.0
1289,1923-07-13,2.0
1290,1923-07-14,4.2
1291,1923-07-15,0.0
1292,1923-07-16,4.1
1293,1923-07-17,0.0
1294,1923-07-18,0.0
1295,1923-07-19,0.0
1296,1923-07-20,0.0
1297,1923-07-21,3.2
1298,1923-07-22,0.0
1299,1923-07-23,0.0
1300,1923-07-24,0.0
1301,1923-07-25,0.0
1302,1923-07-26,4.0
1303,1923-07-27,2.2
1304,1923-07-28,3.2
1305,1923-07-29,0.0
1306,1923-07-30,0.0
1307,1923-07-31,0.0
1308,1923-08-01,1.3
1309,1923-08-02,0.0
1310,1923-08-03,0.0
1311,1923-08-04,0.0
1312,1923-08-05,5.2
1313,1923-08-06,4.3
1314,1923-08-07,3.2
1315,1923-08-08,2.2
1316,1923-08-09,3.2
1317,1923-08-10,5.2
1318,1923-08-11,0.0
1319,1923-08-12,0.0
1320,1923-08-13,4.3
1321,1923-08-14,6.2
1322,1923-08-15,0.0
1323,1923-08-16,0.0
1324,1923-08-17,0.0
1325,1923-08-18,4.2
1326,1923-08-19,4.3
1327,1923-08-20,5.2
1328,1923-08-21,0.0
1329,1923-08-22,0.0
1330,1923-08-23,2.2
1331,1923-08-24,3.3
1332,1923-08-25,0.0
1333,1923-08-26,5.2
1334,1923-08-27,0.0
1335,1923-08-28,5.4
1336,1923-08-29,6.3
1337,1923-08-30,4.3
1338,1923-08-31,1.0
1339,1923-09-01,2.8
1340,1923-09-02,0.0
1341,1923-09-03,36.7
1342,1923-09-04,8.5
1343,1923-09-05,2.6
1344,1923-09-06,25.5
1345,1923-09-07,0.0
1346,1923-09-08,0.0
1347,1923-09-09,19.3
1348,1923-09-10,17.6
1349,1923-09-11,19.7
1350,1923-09-12,22.4
1351,1923-09-13,26.5
1352,1923-09-14,21.2
1353,1923-09-15,17.3
1354,1923-09-16,16.2
1355,1923-09-17,28.3
1356,1923-09-18,28.4
1357,1923-09-19,9.0
1358,1923-09-20,27.3
1359,1923-09-21,0.0
1360,1923-09-22,0.0
1361,1923-09-23,0.7
1362,1923-09-24,0.0
1363,1923-09-25,0.0
1364,1923-09-26,2.2
1365,1923-09-27,0.0
1366,1923-09-28,0.0
1367,1923-09-29,7.8
1368,1923-09-30,1.8
1369,1923-10-01,37.6
1370,1923-10-02,0.0
1371,1923-10-03,0.5
1372,1923-10-04,9.7
1373,1923-10-05,8.8
1374,1923-10-06,0.0
1375,1923-10-07,0.0
1376,1923-10-08,0.0
1377,1923-10-09,37.8
1378,1923-10-10,1.7
1379,1923-10-11,15.4
1380,1923-10-12,0.0
1381,1923-10-13,0.0
1382,1923-10-14,0.0
1383,1923-10-15,3.4
1384,1923-10-16,2.2
1385,1923-10-17,3.5
1386,1923-10-18,2.7
1387,1923-10-19,11.4
1388,1923-10-20,0.0
1389,1923-10-21,1.3
1390,1923-10-22,0.0
1391,1923-10-23,2.2
1392,1923-10-24,7.5
1393,1923-10-25,0.0
1394,1923-10-26,1.2
1395,1923-10-27,2.3
1396,1923-10-28,26.3
1397,1923-10-29,1.2
1398,1923-10-30,16.9
1399,1923-10-31,10.4
1400,1923-11-01,0.0
1401,1923-11-02,8.0
1402,1923-11-03,0.0
1403,1923-11-04,0.0
1404,1923-11-05,11.5
1405,1923-11-06,10.2
1406,1923-11-07,3.7
1407,1923-11-08,0.0
1408,1923-11-09,0.0
1409,1923-11-10,2.2
1410,1923-11-11,0.0
1411,1923-11-12,0.0
1412,1923-11-13,0.0
1413,1923-11-14,0.0
1414,1923-11-15,0.0
1415,1923-11-16,0.0
1416,1923-11-17,1.2
1417,1923-11-18,0.0
1418,1923-11-19,0.0
1419,1923-11-20,0.0
1420,1923-11-21,2.1
1421,1923-11-22,0.0
1422,1923-11-23,0.0
1423,1923-11-24,0.0
1424,1923-11-25,0.0
1425,1923-11-26,0.0
1426,1923-11-27,0.0
1427,1923-11-28,2.9
1428,1923-11-29,0.0
1429,1923-11-30,0.0
1430,1923-12-01,0.0
1431,1923-12-02,0.0
1432,1923-12-03,0.0
1433,1923-12-04,0.0
1434,1923-12-05,0.0
1435,1923-12-06,0.0
1436,1923-12-07,0.0
1437,1923-12-08,0.0
1438,1923-12-09,0.0
1439,1923-12-10,0.0
1440,1923-12-11,0.0
1441,1923-12-12,0.0
1442,1923-12-13,0.0
1443,1923-12-14,0.0
1444,1923-12-15,0.0
1445,1923-12-16,0.0
1446,1923-12-17,0.0
1447,1923-12-18,0.0
1448,1923-12-19,0.0
1449,1923-12-20,0.0
1450,1923-12-21,0.0
1451,1923-12-22,0.0
1452,1923-12-23,0.0
1453,1923-12-24,0.0
1454,1923-12-25,0.0
1455,1923-12-26,0.0
1456,1923-12-27,0.0
1457,1923-12-28,0.0
1458,1923-12-29,0.0
1459,1923-12-30,0.0
1460,1923-12-31,0.0
1461,1924-01-01,0.0
1462,1924-01-02,0.0
1463,1924-01-03,0.0
1464,1924-01-04,0.0
1465,1924-01-05,2.2
1466,1924-01-06,3.2
1467,1924-01-07,3.5
1468,1924-01-08,4.7
1469,1924-01-09,0.0
1470,1924-01-10,0.0
1471,1924-01-11,0.0
1472,1924-01-12,0.0
1473,1924-01-13,0.0
1474,1924-01-14,0.0
1475,1924-01-15,0.0
1476,1924-01-16,0.0
1477,1924-01-17,0.0
1478,1924-01-18,0.0
1479,1924-01-19,0.0
1480,1924-01-20,0.0
1481,1924-01-21,0.0
1482,1924-01-22,0.0
1483,1924-01-23,0.0
1484,1924-01-24,0.0
1485,1924-01-25,0.0
1486,1924-01-26,0.0
1487,1924-01-27,0.0
1488,1924-01-28,0.0
1489,1924-01-29,0.0
1490,1924-01-30,0.0
1491,1924-01-31,0.0
1492,1924-02-01,0.0
1493,1924-02-02,3.2
1494,1924-02-03,0.0
1495,1924-02-04,0.0
1496,1924-02-05,2.5
1497,1924-02-06,0.0
1498,1924-02-07,1.3
1499,1924-02-08,0.0
1500,1924-02-09,0.0
1501,1924-02-10,0.0
1502,1924-02-11,0.0
1503,1924-02-12,0.0
1504,1924-02-13,0.0
1505,1924-02-14,0.0
1506,1924-02-15,0.0
1507,1924-02-16,0.0
1508,1924-02-17,0.0
1509,1924-02-18,0.0
1510,1924-02-19,0.0
1511,1924-02-20,0.0
1512,1924-02-21,0.0
1513,1924-02-22,2.2
1514,1924-02-23,2.3
1515,1924-02-24,0.0
1516,1924-02-25,0.0
1517,1924-02-26,0.0
1518,1924-02-27,0.0
1519,1924-02-28,0.0
1520,1924-02-29,0.0
1521,1924-03-01,0.0
1522,1924-03-02,0.0
1523,1924-03-03,0.0
1524,1924-03-04,0.0
1525,1924-03-05,0.0
1526,1924-03-06,0.0
1527,1924-03-07,0.0
1528,1924-03-08,0.0
1529,1924-03-09,0.0
1530,1924-03-10,0.0
1531,1924-03-11,2.1
1532,1924-03-12,1.2
1533,1924-03-13,0.0
1534,1924-03-14,0.0
1535,1924-03-15,0.0
1536,1924-03-16,1.3
1537,1924-03-17,1.2
1538,1924-03-18,0.0
1539,1924-03-19,0.0
1540,1924-03-20,0.0
1541,1924-03-21,0.0
1542,1924-03-22,0.0
1543,1924-03-23,0.0
1544,1924-03-24,0.0
1545,1924-03-25,0.0
1546,1924-03-26,0.0
1547,1924-03-27,0.0
1548,1924-03-28,3.3
1549,1924-03-29,0.0
1550,1924-03-30,0.0
1551,1924-03-31,0.0
1552,1924-04-01,0.0
1553,1924-04-02,0.0
1554,1924-04-03,0.0
1555,1924-04-04,0.0
1556,1924-04-05,0.0
1557,1924-04-06,0.0
1558,1924-04-07,3.4
1559,1924-04-08,8.2
1560,1924-04-09,3.5
1561,1924-04-10,0.0
1562,1924-04-11,0.0
1563,1924-04-12,0.0
1564,1924-04-13,2.4
1565,1924-04-14,5.2
1566,1924-04-15,4.3
1567,1924-04-16,0.0
1568,1924-04-17,0.0
1569,1924-04-18,0.0
1570,1924-04-19,0.0
1571,1924-04-20,2.2
1572,1924-04-21,27.4
1573,1924-04-22,29.2
1574,1924-04-23,0.0
1575,1924-04-24,45.3
1576,1924-04-25,0.0
1577,1924-04-26,0.0
1578,1924-04-27,0.0
1579,1924-04-28,2.2
1580,1924-04-29,2.4
1581,1924-04-30,24.3
1582,1924-05-01,1.3
1583,1924-05-02,1.2
1584,1924-05-03,26.3
1585,1924-05-04,0.0
1586,1924-05-05,24.2
1587,1924-05-06,12.9
1588,1924-05-07,2.3
1589,1924-05-08,0.0
1590,1924-05-09,14.2
1591,1924-05-10,25.3
1592,1924-05-11,5.4
1593,1924-05-12,2.2
1594,1924-05-13,0.0
1595,1924-05-14,0.0
1596,1924-05-15,0.0
1597,1924-05-16,0.0
1598,1924-05-17,3.4
1599,1924-05-18,0.0
1600,1924-05-19,0.0
1601,1924-05-20,2.2
1602,1924-05-21,0.0
1603,1924-05-22,56.3
1604,1924-05-23,23.4
1605,1924-05-24,5.2
1606,1924-05-25,0.0
1607,1924-05-26,3.2
1608,1924-05-27,57.5
1609,1924-05-28,31.3
1610,1924-05-29,2.9
1611,1924-05-30,53.2
1612,1924-05-31,27.3
1613,1924-06-01,0.0
1614,1924-06-02,12.7
1615,1924-06-03,5.3
1616,1924-06-04,12.2
1617,1924-06-05,7.3
1618,1924-06-06,4.3
1619,1924-06-07,8.2
1620,1924-06-08,2.3
1621,1924-06-09,0.0
1622,1924-06-10,0.0
1623,1924-06-11,10.4
1624,1924-06-12,15.2
1625,1924-06-13,0.0
1626,1924-06-14,35.5
1627,1924-06-15,43.2
1628,1924-06-16,0.0
1629,1924-06-17,0.0
1630,1924-06-18,0.0
1631,1924-06-19,0.0
1632,1924-06-20,7.2
1633,1924-06-21,54.5
1634,1924-06-22,19.3
1635,1924-06-23,0.0
1636,1924-06-24,26.2
1637,1924-06-25,18.3
1638,1924-06-26,35.4
1639,1924-06-27,43.2
1640,1924-06-28,11.3
1641,1924-06-29,7.5
1642,1924-06-30,8.3
1643,1924-07-01,0.0
1644,1924-07-02,0.0
1645,1924-07-03,0.0
1646,1924-07-04,42.3
1647,1924-07-05,37.4
1648,1924-07-06,5.3
1649,1924-07-07,0.0
1650,1924-07-08,0.0
1651,1924-07-09,15.4
1652,1924-07-10,0.0
1653,1924-07-11,0.0
1654,1924-07-12,9.5
1655,1924-07-13,0.0
1656,1924-07-14,0.0
1657,1924-07-15,0.0
1658,1924-07-16,5.3
1659,1924-07-17,0.0
1660,1924-07-18,0.0
1661,1924-07-19,26.2
1662,1924-07-20,0.0
1663,1924-07-21,0.0
1664,1924-07-22,11.0
1665,1924-07-23,0.0
1666,1924-07-24,0.0
1667,1924-07-25,0.0
1668,1924-07-26,0.0
1669,1924-07-27,0.0
1670,1924-07-28,25.3
1671,1924-07-29,32.4
1672,1924-07-30,0.0
1673,1924-07-31,19.2
1674,1924-08-01,8.3
1675,1924-08-02,5.2
1676,1924-08-03,14.4
1677,1924-08-04,0.0
1678,1924-08-05,0.0
1679,1924-08-06,5.2
1680,1924-08-07,19.4
1681,1924-08-08,7.3
1682,1924-08-09,34.5
1683,1924-08-10,35.2
1684,1924-08-11,4.2
1685,1924-08-12,18.3
1686,1924-08-13,9.4
1687,1924-08-14,25.2
1688,1924-08-15,0.0
1689,1924-08-16,31.3
1690,1924-08-17,42.4
1691,1924-08-18,0.0
1692,1924-08-19,14.2
1693,1924-08-20,11.3
1694,1924-08-21,0.0
1695,1924-08-22,25.4
1696,1924-08-23,7.2
1697,1924-08-24,0.0
1698,1924-08-25,0.0
1699,1924-08-26,0.0
1700,1924-08-27,0.0
1701,1924-08-28,42.5
1702,1924-08-29,32.3
1703,1924-08-30,9.2
1704,1924-08-31,16.4
1705,1924-09-01,0.0
1706,1924-09-02,0.0
1707,1924-09-03,0.0
1708,1924-09-04,0.0
1709,1924-09-05,0.0
1710,1924-09-06,8.3
1711,1924-09-07,11.2
1712,1924-09-08,0.0
1713,1924-09-09,0.0
1714,1924-09-10,14.3
1715,1924-09-11,5.2
1716,1924-09-12,15.3
1717,1924-09-13,27.2
1718,1924-09-14,0.0
1719,1924-09-15,0.0
1720,1924-09-16,0.0
1721,1924-09-17,0.0
1722,1924-09-18,0.0
1723,1924-09-19,0.0
1724,1924-09-20,0.0
1725,1924-09-21,10.2
1726,1924-09-22,9.3
1727,1924-09-23,7.4
1728,1924-09-24,26.8
1729,1924-09-25,15.2
1730,1924-09-26,7.3
1731,1924-09-27,11.2
1732,1924-09-28,14.0
1733,1924-09-29,6.3
1734,1924-09-30,8.5
1735,1924-10-01,11.3
1736,1924-10-02,57.4
1737,1924-10-03,15.2
1738,1924-10-04,12.3
1739,1924-10-05,0.0
1740,1924-10-06,0.0
1741,1924-10-07,8.2
1742,1924-10-08,15.4
1743,1924-10-09,27.3
1744,1924-10-10,0.0
1745,1924-10-11,0.0
1746,1924-10-12,0.0
1747,1924-10-13,15.3
1748,1924-10-14,12.2
1749,1924-10-15,19.4
1750,1924-10-16,0.0
1751,1924-10-17,0.0
1752,1924-10-18,0.0
1753,1924-10-19,0.0
1754,1924-10-20,0.0
1755,1924-10-21,0.0
1756,1924-10-22,15.2
1757,1924-10-23,17.4
1758,1924-10-24,0.0
1759,1924-10-25,0.0
1760,1924-10-26,8.6
1761,1924-10-27,0.0
1762,1924-10-28,0.0
1763,1924-10-29,0.0
1764,1924-10-30,27.4
1765,1924-10-31,0.0
1766,1924-11-01,0.0
1767,1924-11-02,0.0
1768,1924-11-03,0.0
1769,1924-11-04,0.0
1770,1924-11-05,15.2
1771,1924-11-06,7.3
1772,1924-11-07,28.5
1773,1924-11-08,28.5
1774,1924-11-09,28.5
1775,1924-11-10,0.0
1776,1924-11-11,0.0
1777,1924-11-12,0.0
1778,1924-11-13,0.0
1779,1924-11-14,0.0
1780,1924-11-15,0.0
1781,1924-11-16,17.4
1782,1924-11-17,0.0
1783,1924-11-18,25.2
1784,1924-11-19,23.3
1785,1924-11-20,0.0
1786,1924-11-21,0.0
1787,1924-11-22,0.0
1788,1924-11-23,11.4
1789,1924-11-24,0.0
1790,1924-11-25,0.0
1791,1924-11-26,0.0
1792,1924-11-27,0.0
1793,1924-11-28,0.0
1794,1924-11-29,16.2
1795,1924-11-30,23.4
1796,1924-12-01,0.0
1797,1924-12-02,0.0
1798,1924-12-03,0.0
1799,1924-12-04,0.0
1800,1924-12-05,0.0
1801,1924-12-06,0.0
1802,1924-12-07,10.4
1803,1924-12-08,0.0
1804,1924-12-09,0.0
1805,1924-12-10,0.0
1806,1924-12-11,0.0
1807,1924-12-12,0.0
1808,1924-12-13,15.2
1809,1924-12-14,12.4
1810,1924-12-15,0.0
1811,1924-12-16,0.0
1812,1924-12-17,0.0
1813,1924-12-18,0.0
1814,1924-12-19,0.0
1815,1924-12-20,0.0
1816,1924-12-21,0.0
1817,1924-12-22,14.5
1818,1924-12-23,0.0
1819,1924-12-24,7.2
1820,1924-12-25,18.4
1821,1924-12-26,0.0
1822,1924-12-27,0.0
1823,1924-12-28,9.2
1824,1924-12-29,0.0
1825,1924-12-30,0.0
1826,1924-12-31,7.8
1827,1925-01-01,11.4
1828,1925-01-02,4.3
1829,1925-01-03,0.0
1830,1925-01-04,7.2
1831,1925-01-05,0.0
1832,1925-01-06,0.0
1833,1925-01-07,0.0
1834,1925-01-08,0.0
1835,1925-01-09,0.0
1836,1925-01-10,0.0
1837,1925-01-11,0.0
1838,1925-01-12,0.0
1839,1925-01-13,0.0
1840,1925-01-14,0.0
1841,1925-01-15,0.0
1842,1925-01-16,0.0
1843,1925-01-17,0.0
1844,1925-01-18,0.0
1845,1925-01-19,0.0
1846,1925-01-20,0.0
1847,1925-01-21,0.0
1848,1925-01-22,0.0
1849,1925-01-23,0.0
1850,1925-01-24,0.0
1851,1925-01-25,0.0
1852,1925-01-26,10.3
1853,1925-01-27,0.0
1854,1925-01-28,0.0
1855,1925-01-29,0.0
1856,1925-01-30,0.0
1857,1925-01-31,0.0
1858,1925-02-01,16.3
1859,1925-02-02,0.0
1860,1925-02-03,0.0
1861,1925-02-04,0.0
1862,1925-02-05,0.0
1863,1925-02-06,9.2
1864,1925-02-07,23.4
1865,1925-02-08,17.3
1866,1925-02-09,0.0
1867,1925-02-10,0.0
1868,1925-02-11,0.0
1869,1925-02-12,11.2
1870,1925-02-13,24.3
1871,1925-02-14,43.4
1872,1925-02-15,12.3
1873,1925-02-16,0.0
1874,1925-02-17,5.4
1875,1925-02-18,0.0
1876,1925-02-19,21.2
1877,1925-02-20,35.3
1878,1925-02-21,0.0
1879,1925-02-22,0.0
1880,1925-02-23,0.0
1881,1925-02-24,0.0
1882,1925-02-25,0.0
1883,1925-02-26,0.0
1884,1925-02-27,0.0
1885,1925-02-28,0.0
1886,1925-03-01,0.0
1887,1925-03-02,15.5
1888,1925-03-03,7.3
1890,1925-03-05,0.0
1891,1925-03-06,0.0
1892,1925-03-07,0.0
1893,1925-03-08,0.0
1894,1925-03-09,0.0
1895,1925-03-10,0.0
1896,1925-03-11,0.0
1897,1925-03-12,0.0
1898,1925-03-13,0.0
1899,1925-03-14,0.0
1900,1925-03-15,0.0
1901,1925-03-16,0.0
1902,1925-03-17,0.0
1903,1925-03-18,0.0
1904,1925-03-19,0.0
1905,1925-03-20,0.0
1906,1925-03-21,0.0
1907,1925-03-22,0.0
1908,1925-03-23,0.0
1909,1925-03-24,0.0
1910,1925-03-25,0.0
1911,1925-03-26,0.0
1912,1925-03-27,0.3
1913,1925-03-28,0.5
1914,1925-03-29,17.3
1915,1925-03-30,0.0
1916,1925-03-31,24.3
1917,1925-04-01,0.0
1918,1925-04-02,0.0
1919,1925-04-03,5.2
1920,1925-04-04,26.3
1921,1925-04-05,11.4
1922,1925-04-06,0.0
1923,1925-04-07,0.0
1924,1925-04-08,0.0
1925,1925-04-09,0.0
1926,1925-04-10,0.0
1927,1925-04-11,0.0
1928,1925-04-12,7.2
1929,1925-04-13,25.3
1930,1925-04-14,27.3
1931,1925-04-15,0.0
1932,1925-04-16,0.0
1933,1925-04-17,0.0
1934,1925-04-18,4.0
1935,1925-04-19,0.0
1936,1925-04-20,34.2
1937,1925-04-21,27.4
1938,1925-04-22,29.3
1939,1925-04-23,26.4
1940,1925-04-24,28.5
1941,1925-04-25,47.3
1942,1925-04-26,49.2
1943,1925-04-27,23.4
1944,1925-04-28,36.2
1945,1925-04-29,0.0
1946,1925-04-30,44.3
1947,1925-05-01,0.0
1948,1925-05-02,28.3
1949,1925-05-03,0.0
1950,1925-05-04,0.0
1951,1925-05-05,17.4
1952,1925-05-06,0.0
1953,1925-05-07,28.3
1954,1925-05-08,42.5
1955,1925-05-09,35.3
1956,1925-05-10,23.4
1957,1925-05-11,0.0
1958,1925-05-12,0.0
1959,1925-05-13,14.5
1960,1925-05-14,0.0
1961,1925-05-15,0.0
1962,1925-05-16,0.0
1963,1925-05-17,19.2
1964,1925-05-18,0.0
1965,1925-05-19,0.0
1966,1925-05-20,0.0
1967,1925-05-21,0.0
1968,1925-05-22,16.4
1969,1925-05-23,25.2
1970,1925-05-24,0.0
1971,1925-05-25,0.0
1972,1925-05-26,11.3
1973,1925-05-27,8.4
1974,1925-05-28,9.3
1975,1925-05-29,36.2
1976,1925-05-30,48.2
1977,1925-05-31,23.3
1978,1925-06-01,0.0
1979,1925-06-02,0.0
1980,1925-06-03,0.0
1981,1925-06-04,0.0
1982,1925-06-05,19.2
1983,1925-06-06,17.4
1984,1925-06-07,22.3
1985,1925-06-08,63.2
1986,1925-06-09,15.4
1987,1925-06-10,22.3
1988,1925-06-11,9.2
1989,1925-06-12,16.2
1990,1925-06-13,0.0
1991,1925-06-14,34.4
1992,1925-06-15,32.3
1993,1925-06-16,0.0
1994,1925-06-17,21.4
1995,1925-06-18,27.3
1996,1925-06-19,0.0
1997,1925-06-20,11.4
1998,1925-06-21,0.0
1999,1925-06-22,33.2
2000,1925-06-23,0.0
2001,1925-06-24,27.3
2002,1925-06-25,24.4
2003,1925-06-26,23.1
